Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,29.670000,29.780001,29.430000,29.590000,24.771591,1150900
2015-01-05,29.370001,29.400000,28.959999,28.980000,24.260921,1483600
2015-01-06,29.080000,29.139999,28.610001,28.820000,24.126976,773800
2015-01-07,29.070000,29.230000,28.930000,29.110001,24.369749,814600
2015-01-08,29.309999,29.610001,29.309999,29.480000,24.679499,726400
2015-01-09,29.660000,29.660000,29.400000,29.410000,24.620897,861300
2015-01-12,29.450001,29.490000,29.180000,29.410000,24.620897,842600
2015-01-13,29.760000,30.040001,29.500000,29.809999,24.955759,2232300
2015-01-14,30.010000,30.360001,29.910000,30.250000,25.324114,2634200
2015-01-15,30.559999,30.559999,30.160000,30.299999,25.365969,1116200
2015-01-16,30.670000,30.850000,30.610001,30.840000,25.818037,1140700
2015-01-20,30.840000,30.959999,30.680000,30.780001,25.767807,1970200
2015-01-21,30.840000,31.090000,30.760000,31.090000,26.027332,915300
2015-01-22,31.030001,31.400000,30.920000,31.280001,26.186386,816500
2015-01-23,31.320000,31.360001,31.160000,31.170000,26.094299,975700
2015-01-26,31.000000,31.100000,31.000000,31.059999,26.002209,684700
2015-01-27,31.010000,31.040001,30.680000,30.830000,25.809669,826400
2015-01-28,30.830000,30.950001,30.400000,30.480000,25.516661,1080800
2015-01-29,30.700001,30.700001,30.379999,30.629999,25.642231,1536300
2015-01-30,30.209999,30.340000,30.000000,30.219999,25.299000,1841600
2015-02-02,31.350000,31.620001,31.270000,31.590000,26.445908,1199100
2015-02-03,31.010000,31.240000,30.910000,31.230000,26.144529,1518400
2015-02-04,31.400000,31.559999,31.309999,31.320000,26.219873,781900
2015-02-05,31.870001,32.049999,31.870001,31.990000,26.780775,1196800
2015-02-06,32.160000,32.290001,32.000000,32.029999,26.814259,793800
2015-02-09,32.000000,32.099998,31.850000,31.930000,26.730543,483100
2015-02-10,32.310001,32.509998,32.099998,32.490002,27.199354,1238600
2015-02-11,32.380001,32.580002,32.340000,32.500000,27.207726,729700
2015-02-12,32.529999,32.770000,32.500000,32.730000,27.400274,756600
2015-02-13,32.799999,33.000000,32.790001,32.869999,27.517473,502200
2015-02-17,33.000000,33.209999,32.990002,33.130001,27.735144,424900
2015-02-18,33.130001,33.340000,33.130001,33.250000,27.835596,479900
2015-02-19,33.250000,33.410000,33.189999,33.369999,27.936052,635000
2015-02-20,33.349998,33.549999,33.270000,33.509998,28.053253,452700
2015-02-23,33.119999,33.369999,32.970001,33.299999,27.877455,1600600
2015-02-24,33.000000,33.240002,32.820000,33.189999,27.785364,933200
2015-02-25,33.160000,33.389999,33.080002,33.330002,27.902578,685500
2015-02-26,33.560001,33.720001,33.540001,33.660000,28.178827,746100
2015-02-27,33.310001,33.400002,33.099998,33.139999,27.743507,2138000
2015-03-02,33.080002,33.270000,33.029999,33.209999,27.802111,2428700
2015-03-03,33.299999,33.400002,33.189999,33.250000,27.835596,485100
2015-03-04,33.200001,33.200001,32.959999,33.080002,27.693275,739700
2015-03-05,33.270000,33.320000,33.139999,33.240002,27.827223,345900
2015-03-06,33.700001,33.770000,33.430000,33.520000,28.061626,939500
2015-03-09,33.500000,33.570000,33.290001,33.459999,28.011402,964400
2015-03-10,33.509998,33.509998,33.270000,33.320000,27.894199,698700
