Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,51600.000000,52600.000000,51600.000000,52300.000000,52300.000000,616867
2015-01-05,52200.000000,52300.000000,51600.000000,52000.000000,52000.000000,651421
2015-01-06,51500.000000,51600.000000,50900.000000,51200.000000,51200.000000,777311
2015-01-07,50500.000000,52100.000000,50500.000000,51800.000000,51800.000000,598333
2015-01-08,51800.000000,52600.000000,51800.000000,52200.000000,52200.000000,701430
2015-01-09,52700.000000,54400.000000,52500.000000,53400.000000,53400.000000,927979
2015-01-12,52900.000000,53800.000000,52700.000000,53000.000000,53000.000000,589295
2015-01-13,54500.000000,54800.000000,53600.000000,54200.000000,54200.000000,1145916
2015-01-14,54700.000000,54900.000000,53300.000000,53600.000000,53600.000000,857911
2015-01-15,53200.000000,53400.000000,52100.000000,52500.000000,52500.000000,1137595
2015-01-16,51900.000000,52400.000000,51100.000000,52000.000000,52000.000000,884515
2015-01-19,51500.000000,51900.000000,51100.000000,51500.000000,51500.000000,897406
2015-01-20,51300.000000,52000.000000,51300.000000,51900.000000,51900.000000,725531
2015-01-21,51500.000000,51900.000000,49850.000000,50300.000000,50300.000000,2187421
2015-01-22,50300.000000,50700.000000,49800.000000,50200.000000,50200.000000,1757493
2015-01-23,50400.000000,50800.000000,48900.000000,49250.000000,49250.000000,2748392
2015-01-26,48000.000000,48500.000000,46400.000000,46450.000000,46450.000000,4520696
2015-01-27,46150.000000,46400.000000,44750.000000,45400.000000,45400.000000,4113849
2015-01-28,45000.000000,46600.000000,45000.000000,46000.000000,46000.000000,2895702
2015-01-29,46050.000000,47000.000000,45950.000000,46650.000000,46650.000000,1337853
2015-01-30,47300.000000,47350.000000,45950.000000,46000.000000,46000.000000,1912599
2015-02-02,45800.000000,46600.000000,45800.000000,46550.000000,46550.000000,981947
2015-02-03,46250.000000,46400.000000,45050.000000,45400.000000,45400.000000,1936168
2015-02-04,46200.000000,46200.000000,45500.000000,46000.000000,46000.000000,1641512
