Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,12.100000,12.150000,12.080000,12.080000,10.479520,19900
2015-01-05,11.620000,11.690000,11.490000,11.650000,10.106491,8400
2015-01-06,11.370000,11.370000,11.240000,11.300000,9.802865,13700
2015-01-07,11.580000,11.620000,11.550000,11.560000,10.028416,2000
2015-01-08,11.380000,11.500000,11.380000,11.500000,9.976364,40100
2015-01-09,10.910000,11.090000,10.730000,10.800000,9.369106,11800
2015-01-12,11.060000,11.060000,10.650000,10.780000,9.351757,23500
2015-01-13,11.080000,11.080000,10.740000,10.930000,9.481883,25100
2015-01-14,10.680000,10.750000,10.630000,10.750000,9.325730,3900
2015-01-15,10.600000,10.600000,10.480000,10.550000,9.152230,49000
2015-01-16,10.700000,10.770000,10.630000,10.750000,9.325730,417900
2015-01-20,11.100000,11.130000,10.980000,11.130000,9.655385,2170400
2015-01-21,10.830000,10.970000,10.830000,10.930000,9.481883,21300
2015-01-22,10.690000,10.920000,10.690000,10.910000,9.464533,15300
2015-01-23,10.870000,10.870000,10.700000,10.700000,9.282355,10200
2015-01-26,10.410000,10.460000,10.290000,10.410000,9.030779,65500
2015-01-27,10.490000,10.540000,10.410000,10.460000,9.074155,13200
2015-01-28,10.510000,10.510000,10.430000,10.430000,9.048129,3500
2015-01-29,10.360000,10.530000,10.340000,10.450000,9.065478,105800
2015-01-30,10.240000,10.370000,10.240000,10.300000,8.935352,533000
2015-02-02,10.380000,10.390000,10.350000,10.360000,8.987403,5200
2015-02-03,10.330000,10.340000,10.210000,10.300000,8.935352,22800
2015-02-04,10.420000,10.540000,10.420000,10.510000,9.117530,90700
2015-02-05,10.310000,10.370000,10.270000,10.350000,8.978727,18900
2015-02-06,10.280000,10.320000,10.110000,10.320000,8.952703,32000
2015-02-09,10.170000,10.170000,10.080000,10.100000,8.761849,15100
2015-02-10,10.060000,10.140000,10.030000,10.090000,8.753174,6800
2015-02-11,10.090000,10.170000,10.080000,10.130000,8.787874,20800
2015-02-12,10.070000,10.090000,9.870000,10.000000,8.675098,14500
2015-02-13,10.060000,10.090000,10.030000,10.060000,8.727150,11200
2015-02-17,10.310000,10.310000,10.240000,10.300000,8.935352,13600
2015-02-18,10.640000,10.650000,10.530000,10.560000,9.160905,27900
2015-02-19,10.520000,10.620000,10.520000,10.600000,9.195604,19000
2015-02-20,10.640000,10.750000,10.580000,10.750000,9.325730,7300
2015-02-23,10.530000,10.600000,10.530000,10.580000,9.178254,19100
2015-02-24,10.760000,10.760000,10.640000,10.750000,9.325730,303900
2015-02-25,10.830000,10.830000,10.710000,10.750000,9.325730,65000
2015-02-26,10.790000,10.820000,10.730000,10.810000,9.377782,4500
2015-02-27,10.710000,10.740000,10.660000,10.720000,9.299706,4800
2015-03-02,10.590000,10.590000,10.470000,10.550000,9.152230,28500
2015-03-03,10.440000,10.450000,10.380000,10.450000,9.065478,26400
2015-03-04,10.460000,10.460000,10.350000,10.450000,9.065478,2300
2015-03-05,10.450000,10.510000,10.450000,10.480000,9.091502,7300
2015-03-06,10.420000,10.440000,10.310000,10.370000,8.996078,10100
2015-03-09,10.210000,10.290000,10.200000,10.250000,8.891976,4100
2015-03-10,10.160000,10.190000,10.090000,10.190000,8.839926,11200
2015-03-11,10.000000,10.020000,9.940000,9.990000,8.666424,15900
2015-03-12,9.930000,9.950000,9.870000,9.950000,8.631725,10000
2015-03-13,10.050000,10.140000,10.040000,10.130000,8.787874,278500
2015-03-16,10.050000,10.050000,9.950000,9.950000,8.631725,145300
2015-03-17,9.900000,9.950000,9.830000,9.880000,8.570998,10400
2015-03-18,9.750000,9.940000,9.750000,9.900000,8.588347,6600
2015-03-19,9.830000,9.930000,9.830000,9.930000,8.614374,7800
2015-03-20,10.020000,10.040000,9.980000,9.990000,8.666424,5000
2015-03-23,10.110000,10.110000,10.070000,10.080000,8.744501,8200
2015-03-24,10.160000,10.400000,10.160000,10.370000,8.996078,58600
2015-03-25,10.430000,10.440000,10.320000,10.360000,8.987403,9900
2015-03-26,10.250000,10.440000,10.170000,10.370000,9.031188,648600
2015-03-27,10.140000,10.290000,10.140000,10.270000,8.944099,231900
2015-03-30,10.160000,10.250000,10.160000,10.250000,8.926681,25100
2015-03-31,10.160000,10.190000,10.130000,10.150000,8.839590,17400
2015-04-01,9.860000,9.980000,9.860000,9.940000,8.656702,15800
2015-04-02,9.770000,9.910000,9.770000,9.910000,8.630575,23100
2015-04-06,9.760000,9.800000,9.730000,9.800000,8.534777,6500
2015-04-07,9.690000,9.720000,9.680000,9.700000,8.447687,36800
2015-04-08,9.610000,9.690000,9.600000,9.660000,8.412851,66700
2015-04-09,9.640000,9.640000,9.560000,9.620000,8.378016,21500
2015-04-10,9.600000,9.700000,9.600000,9.640000,8.395433,10000
2015-04-13,9.680000,9.680000,9.460000,9.540000,8.308344,20600
2015-04-14,9.450000,9.610000,9.250000,9.510000,8.282218,76500
2015-04-15,9.550000,9.640000,9.530000,9.640000,8.395433,18100
2015-04-16,9.670000,9.730000,9.670000,9.730000,8.473815,13000
2015-04-17,9.800000,9.850000,9.760000,9.800000,8.534777,32900
2015-04-20,9.780000,9.860000,9.780000,9.830000,8.560905,18600
2015-04-21,10.000000,10.000000,9.920000,9.990000,8.700247,27700
2015-04-22,10.020000,10.110000,10.020000,10.070000,8.769920,32900
2015-04-23,10.250000,10.320000,10.240000,10.320000,8.987643,20600
2015-04-24,10.260000,10.420000,10.260000,10.420000,9.074733,43800
2015-04-27,10.310000,10.310000,10.150000,10.190000,8.874426,3100
2015-04-28,9.780000,9.950000,9.750000,9.870000,8.595741,38700
2015-04-29,9.860000,9.860000,9.710000,9.740000,8.482523,6100
2015-04-30,9.750000,9.880000,9.720000,9.750000,8.491233,21800
2015-05-01,9.780000,9.930000,9.780000,9.930000,8.647994,16000
2015-05-04,9.900000,9.970000,9.900000,9.970000,8.682831,11500
2015-05-05,9.990000,9.990000,9.790000,9.800000,8.534777,20800
2015-05-06,9.760000,9.810000,9.750000,9.790000,8.526069,12400
2015-05-07,9.930000,10.080000,9.930000,10.060000,8.761210,22500
2015-05-08,10.300000,10.510000,10.300000,10.500000,9.144403,39200
2015-05-11,10.450000,10.450000,10.330000,10.450000,9.100859,9800
2015-05-12,10.390000,10.390000,10.330000,10.390000,9.048605,6200
2015-05-13,10.450000,10.520000,10.410000,10.460000,9.109570,26400
2015-05-14,10.630000,10.710000,10.630000,10.710000,9.327291,19400
2015-05-15,10.610000,10.640000,10.570000,10.640000,9.266332,8600
2015-05-18,10.710000,10.740000,10.710000,10.740000,9.353420,16400
2015-05-19,10.700000,10.730000,10.640000,10.720000,9.336000,33800
2015-05-20,10.460000,10.560000,10.460000,10.550000,9.187949,22900
2015-05-21,10.600000,10.680000,10.600000,10.680000,9.301166,10500
2015-05-22,10.750000,10.800000,10.740000,10.750000,9.362128,8000
2015-05-26,10.630000,10.630000,10.560000,10.590000,9.222785,7400
2015-05-27,10.740000,10.830000,10.740000,10.810000,9.414383,64400
